,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
115148,0,5,1.0,1.0,0.0,1.0,1,5,1.0,3.0,22,1,3.0,2.0,0,1.0,0,22.0,12000.0,3.0
115150,0,5,1.0,2.0,0.0,3.0,1,4,3.0,3.0,17,1,1.0,2.0,0,1.0,0,20.0,5000.0,2.0
115201,0,5,1.0,1.0,0.0,1.0,1,1,1.0,2.0,54,1,5.0,1.0,0,4.0,0,5.0,20000.0,3.0
115203,0,3,1.0,2.0,0.0,2.0,1,1,5.0,5.0,53,1,3.0,1.0,1,4.0,0,30.0,15000.0,1.0
115214,0,4,1.0,2.0,0.0,1.0,1,1,1.0,1.0,33,0,3.0,1.0,0,4.0,0,8.0,20000.0,1.0
115257,0,5,1.0,5.0,0.0,4.0,1,5,3.0,2.0,45,0,3.0,3.0,0,4.0,0,5.0,5000.0,3.0
115336,0,5,1.0,1.0,0.0,1.0,1,5,4.0,3.0,21,0,4.0,1.0,0,4.0,0,30.0,3000.0,2.0
115352,0,3,1.0,3.0,1.0,2.0,1,2,4.0,3.0,58,0,4.0,1.0,0,1.0,0,15.0,12000.0,3.0
115367,0,2,1.0,1.0,0.0,1.0,1,2,4.0,2.0,63,0,3.0,1.0,0,2.0,0,5.0,9000.0,1.0
115368,0,5,1.0,2.0,0.0,2.0,1,5,1.0,1.0,60,1,5.0,1.0,0,4.0,0,15.0,12000.0,2.0
115406,0,5,1.0,2.0,0.0,2.0,0,4,3.0,3.0,56,1,3.0,1.0,1,2.0,0,25.0,10000.0,3.0
115415,0,3,0.0,4.0,1.0,2.0,0,8,5.0,2.0,33,0,3.0,1.0,0,2.0,0,20.0,10000.0,2.0
115424,0,5,1.0,2.0,0.0,2.0,0,5,1.0,2.0,74,1,5.0,1.0,0,4.0,0,8.0,12000.0,3.0
